,ChEMBL ID,Name,SMILES,Molecular Weight,LogP,HBA,HBD,TPSA,Protein
57,CHEMBL4537790,,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21,542.69,3.77,9.0,1.0,91.12,EGFR
58,CHEMBL4566193,,Cn1ncc2c1OCCCCCN1/C(=N/C(=O)c3cc(F)nc-2c3)Nc2ccccc21,420.45,3.61,7.0,1.0,84.64,EGFR
59,CHEMBL4525935,,Cn1cc(-c2cc(C(=O)/N=c3\[nH]c4ccccc4n3CC(C)(C)O)ccn2)cn1,390.45,2.28,6.0,2.0,101.09,EGFR
60,CHEMBL3353410,OSIMERTINIB,C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,499.62,4.51,8.0,2.0,87.55,EGFR
61,CHEMBL4550104,,Cc1cc2cc(n1)-c1cnn(C)c1OCCCCCN1/C(=N/C2=O)Nc2ccccc21,416.49,3.78,7.0,1.0,84.64,EGFR
62,CHEMBL4434788,,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3ccccc3)c2)[nH]c2ccccc21,386.46,3.54,4.0,2.0,83.27,EGFR
63,CHEMBL4449589,,CC(C)(O)Cn1/c(=N/C(=O)c2ccnc(-c3cccnc3)c2)[nH]c2ccccc21,387.44,2.94,5.0,2.0,96.16,EGFR
64,CHEMBL4562138,,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccccc21,430.51,4.03,7.0,1.0,84.64,EGFR
65,CHEMBL4519157,,O=C1/N=C2\Nc3ccccc3N2CCCCCOc2ccccc2-c2cc1ccn2,398.47,4.74,5.0,1.0,66.82,EGFR
66,CHEMBL4532034,,COc1ccncc1-c1cc(C(=O)/N=c2\[nH]c3ccccc3n2CC(C)(C)O)ccn1,417.47,2.95,6.0,2.0,105.39,EGFR
67,CHEMBL5438568,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,501.83,3.24,9.0,2.0,128.20,EGFR
68,CHEMBL5440872,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OC(=O)/C=C/CN1CCCCC1,470.93,5.12,7.0,1.0,76.58,EGFR
69,CHEMBL5429059,,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/n1cc(F)c(=O)[nH]c1=O,500.85,3.27,8.0,3.0,131.00,EGFR
70,CHEMBL2110732,DACOMITINIB ANHYDROUS,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,469.95,5.16,6.0,2.0,79.38,EGFR
71,CHEMBL4555578,,O=C(Nc1ccccc1)NC1CCCC1,204.27,2.75,1.0,2.0,41.13,EGFR
72,CHEMBL5411401,,O=C(Nc1ccccn1)NC1CCCC1,205.26,2.15,2.0,2.0,54.02,EGFR
73,CHEMBL5439330,,CN(C(=O)NC1CCCC1)c1ccccc1,218.30,2.78,1.0,1.0,32.34,EGFR
74,CHEMBL5425333,,CN(C(=O)NC1CCCC1)c1ccccn1,219.29,2.17,2.0,1.0,45.23,EGFR
75,CHEMBL5401602,,CN(C(=O)Nc1ccccc1)C1CCCC1,218.30,3.09,1.0,1.0,32.34,EGFR
76,CHEMBL5430172,,CN(C(=O)Nc1ccccn1)C1CCCC1,219.29,2.49,2.0,1.0,45.23,EGFR
77,CHEMBL5411911,,CN(C(=O)N(C)C1CCCC1)c1ccccc1,232.33,3.12,1.0,0.0,23.55,EGFR
78,CHEMBL5420832,,CN(C(=O)N(C)C1CCCC1)c1ccccn1,233.31,2.51,2.0,0.0,36.44,EGFR
79,CHEMBL5424516,,COc1cc2ncnc(NCc3ccc(NC(=O)C(c4ccccc4)N4Cc5ccccc5C4=O)cc3)c2cc1OCCCN1CCOCC1,672.79,5.69,9.0,2.0,118.15,EGFR
80,CHEMBL4284413,,O=C(Nc1nccs1)C(c1ccccc1)N1Cc2ccccc2C1=O,349.42,3.48,4.0,1.0,62.30,EGFR
81,CHEMBL303519,,c1cnc(N2CCN(Cc3cccc4c3Cc3ccccc3-4)CC2)nc1,342.45,3.37,4.0,0.0,32.26,DRD2
82,CHEMBL292943,,COc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,360.46,3.47,5.0,0.0,41.49,DRD2
83,CHEMBL61682,,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4F)CC3)c2)cc1,365.43,4.35,3.0,0.0,19.37,DRD2
84,CHEMBL64487,,COc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,360.46,3.47,5.0,0.0,41.49,DRD2
85,CHEMBL64597,,c1cnc(N2CCN(Cc3cccc(-c4ccsc4)c3)CC2)nc1,336.46,3.53,5.0,0.0,32.26,DRD2
86,CHEMBL291824,,Fc1ccc(-c2cncc(CN3CCN(c4ccc(F)cc4)CC3)c2)cc1,365.43,4.35,3.0,0.0,19.37,DRD2
87,CHEMBL59942,,Fc1ccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)cc1,348.43,3.60,4.0,0.0,32.26,DRD2
88,CHEMBL61657,,Fc1ccc(-c2cncc(CN3CCN(c4ccccn4)CC3)c2)cc1,348.42,3.60,4.0,0.0,32.26,DRD2
89,CHEMBL302183,,Fc1ccc(-c2cncc(CN3CCN(c4ncccn4)CC3)c2)cc1,349.41,3.00,5.0,0.0,45.15,DRD2
90,CHEMBL304692,,c1cnc(N2CCN(Cc3cccc4c3-c3ccccc3C4)CC2)nc1,342.45,3.37,4.0,0.0,32.26,DRD2
91,CHEMBL555670,,Cl.Clc1ccc(N2CCN(Cc3c[nH]c4ncccc34)CC2)cc1,363.29,3.54,3.0,1.0,35.16,DRD2
92,CHEMBL291380,,Fc1ccccc1-c1cccc(CN2CCN(c3ncccn3)CC2)c1,348.42,3.60,4.0,0.0,32.26,DRD2
93,CHEMBL40391,,Nc1cccc(-c2ccc(CCN3CCN(CC(=O)c4ccccc4)CC3)cc2)n1,400.53,3.37,5.0,1.0,62.46,DRD2
94,CHEMBL64671,,COc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,360.46,3.47,5.0,0.0,41.49,DRD2
95,CHEMBL62829,,Fc1cccc(-c2cccc(CN3CCN(c4ncccn4)CC3)c2)c1,348.42,3.60,4.0,0.0,32.26,DRD2
96,CHEMBL64119,,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1.O=C(O)/C=C\C(=O)O,455.56,3.97,4.0,0.0,28.60,DRD2
97,CHEMBL302904,,Fc1ccc(-c2cncc(CN3CCN(c4ccccc4)CC3)c2)cc1,347.44,4.21,3.0,0.0,19.37,DRD2
98,CHEMBL60957,,Fc1ccc(-c2cncc(CN3CCN(c4cnccn4)CC3)c2)cc1,349.41,3.00,5.0,0.0,45.15,DRD2
99,CHEMBL82652,,O=C(NC[C@H]1CCCN1CCc1ccccc1)C1CCCCC1,314.47,3.39,2.0,1.0,32.34,DRD2
100,CHEMBL356304,,CSc1cccc(C(=O)NC[C@@H]2CCCN2CCc2ccccc2)c1,354.52,3.85,3.0,1.0,32.34,DRD2
101,CHEMBL147279,,O=C(NC[C@@H]1CCCN1CCc1ccccc1)c1ccccc1,308.43,3.12,2.0,1.0,32.34,DRD2
102,CHEMBL82884,,O=C(NC[C@@H]1CCCN1CCc1ccccc1)C1CCCCC1,314.47,3.39,2.0,1.0,32.34,DRD2
103,CHEMBL148249,,CSc1cccc(C(=O)NC[C@H]2CCCN2CCc2ccccc2)c1,354.52,3.85,3.0,1.0,32.34,DRD2
104,CHEMBL56,8-OH-DPAT,CCCN(CCC)C1CCc2cccc(O)c2C1,247.38,3.37,2.0,1.0,23.47,DRD2
105,CHEMBL147226,,O=C(NC[C@H]1CCCN1CCc1ccccc1)c1ccccc1,308.43,3.12,2.0,1.0,32.34,DRD2
106,CHEMBL1204116,,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(Cl)c1,442.23,4.92,2.0,0.0,6.48,DRD2
107,CHEMBL42,CLOZAPINE,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,326.83,3.72,4.0,1.0,30.87,DRD2
108,CHEMBL1203260,,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccn3)CC2)cc1,329.88,3.01,3.0,0.0,19.37,DRD2
109,CHEMBL1202203,,Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3cccnc3)CC2)cc1,374.33,3.01,3.0,0.0,19.37,DRD2
110,CHEMBL1202222,,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3)CC2)cc1,425.77,4.40,2.0,0.0,6.48,DRD2
111,CHEMBL2092961,,Br.Cc1ccc(N2CCN(CC3CC3c3ccccc3)CC2)c(C)c1,401.39,4.23,2.0,0.0,6.48,DRD2
112,CHEMBL1202211,,Br.COc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,437.81,4.27,3.0,0.0,15.71,DRD2
113,CHEMBL1202213,,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1Cl,442.23,4.92,2.0,0.0,6.48,DRD2
114,CHEMBL125455,,Clc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(Cl)c1,361.32,4.92,2.0,0.0,6.48,DRD2
115,CHEMBL1202216,,Br.COc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,403.36,3.62,3.0,0.0,15.71,DRD2
116,CHEMBL1202217,,Br.COc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,403.36,3.62,3.0,0.0,15.71,DRD2
117,CHEMBL1202202,,Br.Oc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,458.23,4.62,3.0,1.0,26.71,DRD2
118,CHEMBL54,HALOPERIDOL,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,375.87,4.43,3.0,1.0,40.54,DRD2
119,CHEMBL1202221,,Br.Clc1cccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,407.78,4.27,2.0,0.0,6.48,DRD2
120,CHEMBL1202220,,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,407.78,4.27,2.0,0.0,6.48,DRD2
121,CHEMBL1203257,,Cl.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ncccn3)CC2)cc1,330.86,2.40,4.0,0.0,32.26,DRD2
122,CHEMBL1202219,,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3Cl)CC2)cc1,425.77,4.40,2.0,0.0,6.48,DRD2
123,CHEMBL1202210,,Br.Cc1cc(Cl)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,421.81,4.57,2.0,0.0,6.48,DRD2
124,CHEMBL341497,,c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccccc3)CC2)cc1,292.43,3.61,2.0,0.0,6.48,DRD2
125,CHEMBL1202215,,Br.Clc1ccccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,407.78,4.27,2.0,0.0,6.48,DRD2
126,CHEMBL1202212,,Br.Clc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,442.23,4.92,2.0,0.0,6.48,DRD2
127,CHEMBL1202209,,Br.Cc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,405.36,4.06,2.0,0.0,6.48,DRD2
128,CHEMBL1202204,,Br.COc1c(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1Cl,472.25,4.93,3.0,0.0,15.71,DRD2
129,CHEMBL1202207,,Br.c1ccc([C@H]2C[C@@H]2CN2CCN(c3ccncc3)CC2)cc1,374.33,3.01,3.0,0.0,19.37,DRD2
130,CHEMBL1202206,,Br.COc1ccc([C@H]2C[C@@H]2CN2CCN(c3ccc(Cl)cc3Cl)CC2)cc1,472.25,4.93,3.0,0.0,15.71,DRD2
131,CHEMBL1202208,,Br.Cc1ccc(N2CCN(C[C@@H]3C[C@H]3c3ccccc3)CC2)c(C)c1,401.39,4.23,2.0,0.0,6.48,DRD2
132,CHEMBL1204119,,Br.Cc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c(C)c1,401.39,4.23,2.0,0.0,6.48,DRD2
133,CHEMBL1202205,,Br.COc1ccc(Cl)cc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,437.81,4.27,3.0,0.0,15.71,DRD2
134,CHEMBL1202224,,Br.COc1ccc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,403.36,3.62,3.0,0.0,15.71,DRD2
135,CHEMBL1202225,,Br.Clc1cc(Cl)cc(N2CCN(C[C@H]3C[C@@H]3c3ccccc3)CC2)c1,442.23,4.92,2.0,0.0,6.48,DRD2
136,CHEMBL1202223,,Br.Fc1ccc([C@H]2C[C@@H]2CN2CCN(c3cccc(Cl)c3)CC2)cc1,425.77,4.40,2.0,0.0,6.48,DRD2
137,CHEMBL1202214,,Br.Br.COc1cc(F)ccc1N1CCN(C[C@H]2C[C@@H]2c2ccccc2)CC1,502.27,3.76,3.0,0.0,15.71,DRD2
138,CHEMBL22242,REMOXIPRIDE,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,371.28,2.68,4.0,1.0,50.80,DRD2
139,CHEMBL831,LOXAPINE,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,327.81,3.77,4.0,0.0,28.07,DRD2
140,CHEMBL415300,ISOCLOZAPINE,CN1CCN(C2=Nc3ccccc3Nc3ccc(Cl)cc32)CC1,326.83,3.72,4.0,1.0,30.87,DRD2
141,CHEMBL72292,,CN1CCN(C2=Nc3ccccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,440.45,3.30,7.0,1.0,74.24,DRD2
142,CHEMBL81485,,CNCC1CC2c3ccccc3Cc3ccccc3N2O1,280.37,3.06,3.0,1.0,24.50,DRD2
143,CHEMBL70319,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,474.89,3.95,7.0,1.0,74.24,DRD2
144,CHEMBL73589,,CN1CCN(C2=Nc3ccccc3Sc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,457.50,3.71,7.0,0.0,62.21,DRD2
145,CHEMBL83658,,CN(C)CC1CC2c3ccccc3Cc3ccccc3N2O1,294.40,3.40,3.0,0.0,15.71,DRD2
146,CHEMBL306474,,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(C)(=O)=O)cc32)CC1,387.46,2.46,7.0,0.0,71.44,DRD2
147,CHEMBL313189,,CN(C)CCC1CC2c3ccccc3Cc3ccccc3N2O1,308.43,3.79,3.0,0.0,15.71,DRD2
148,CHEMBL430798,,CN1CCN(C2=Nc3ccccc3Oc3ccc(OS(=O)(=O)C(F)(F)F)cc32)CC1,441.43,3.35,7.0,0.0,71.44,DRD2
149,CHEMBL6437,MIANSERIN,CN1CCN2c3ccccc3Cc3ccccc3C2C1,264.37,3.08,2.0,0.0,6.48,DRD2
150,CHEMBL603,ZAFIRLUKAST,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,575.69,5.70,7.0,2.0,115.73,DRD2
151,CHEMBL120055,,Cc1ccccc1N1CCN(C(=O)COc2ccc3[nH]cc(CCN)c3c2)CC1,392.50,2.71,4.0,2.0,74.59,DRD2
152,CHEMBL28902,,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3ccc4ccc(Cl)cc4n3)c2)cc1,503.01,7.68,5.0,0.0,52.83,DRD2
153,CHEMBL160581,,NCCc1c[nH]c2ccc(OCC(=O)N3CCN(c4cccc5ccccc45)CC3)cc12,428.54,3.55,4.0,2.0,74.59,DRD2
154,CHEMBL31714,,Cc1nc2cnccc2n1-c1ccc(OCc2cccc(/C=C/c3nc4cc(F)ccc4s3)c2)cc1,492.58,7.23,6.0,0.0,52.83,DRD2
155,CHEMBL19331,,Oc1ccc2c(c1)CCN2,135.17,1.36,2.0,2.0,32.26,DRD2
156,CHEMBL2303762,,OC[C@H]1O[C@H](Oc2ccc(CC3NCCc4cc(O)c(O)cc43)cc2)[C@H](O)[C@H](O)[C@H]1O,433.46,-0.29,9.0,7.0,151.87,DRD2
157,CHEMBL349034,,Fc1ccc(N2CCN(CC[C@H]3CC[C@H](Nc4ncccn4)CC3)CC2)cc1,383.52,3.80,5.0,1.0,44.29,DRD2
158,CHEMBL164792,,COc1ccccc1N1CCN(CC[C@H]2CC[C@H](Nc3ncccn3)CC2)CC1,395.55,3.67,6.0,1.0,53.52,DRD2
159,CHEMBL331077,,CN(C)CC1CC2c3ccccc3Cc3ccncc3N2O1,295.39,2.80,4.0,0.0,28.60,DRD2
160,CHEMBL315772,,CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,328.84,4.06,3.0,0.0,15.71,DRD2
161,CHEMBL331188,,CN(C)CC1CC2c3cccnc3Cc3ccccc3N2O1,295.39,2.80,4.0,0.0,28.60,DRD2
162,CHEMBL553331,,Cl.Cl.Cn1c(=O)c2c(ncn2CCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n(C)c1=O,581.50,2.51,8.0,0.0,68.30,DRD2
163,CHEMBL305660,EBASTINE,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,469.67,7.22,3.0,0.0,29.54,DRD2
164,CHEMBL338611,,Cn1c(=O)c2c(ncn2CCCN2CCC(C(c3ccccc3)c3ccccc3)CC2)n(C)c1=O.O=C(O)/C=C/C(=O)O,587.68,3.37,7.0,0.0,65.06,DRD2
